Title,Link,Abstract,AI Tutor Category,Education Setting,
Implementing Artificial Intelligence in Physiotherapy Education: A Case Study on the Use of Large Language Models (LLM) to Enhance Feedback,https://ieeexplore.ieee.org/document/10648793/,"This article presents a controlled case study focused on implementing and using generative artificial intelligence, specifically large language models (LLMs), in physiotherapy education to assist instructors with formulating effective technology-mediated feedback for students. It outlines how these advanced technologies have been integrated into an existing feedback-oriented platform to guide instructors in providing feedback inputs and establish a reference framework for future innovations in practical skills training for health professions education. Specifically, the proposed solution uses LLMs to automatically evaluate feedback inputs made by instructors based on predefined and literature-based quality criteria and generates actionable textual explanations for reformulation. In addition, if the instructor requires, the tool supports summary generation for large sets of text inputs to achieve better student reception and understanding. The case study describes how these features were integrated into the feedback-oriented platform, how their effectiveness was evaluated in a controlled setting with documented feedback inputs, and the results of its implementation with real users through cognitive walkthroughs. Initial results indicate that this innovative implementation holds great potential to enhance learning and performance in physiotherapy education and has the potential to expand to other health disciplines where the development of procedural skills is critical, offering a valuable tool to assess and improve feedback based on quality standards for effective feedback processes. The cognitive walkthroughs allowed us to determine participants' usability decisions in the face of these new features and to evaluate the perceived usefulness, how this would integrate into their workload, and their opinion regarding the potential for the future within this teaching strategy. This article concludes with a discussion of the implications of these findings for practice and future research directions in this developing field.",2: AI Tutor ,1: Other ,Arnav
A Systematic Review of Generative Artificial Intelligence in Education,https://ieeexplore.ieee.org/document/11092288/,"The emergence of generative artificial intelligence has had a profound impact on education. This study, based on the Preferred Reporting Items for Systematic Reviews and Meta-Analysis (PRISMA) method, analyzes 281 studies on the application of generative artificial intelligence in education. The results of this study can assist researchers in better understanding: (1) What are the key characteristics of the literature on generative artificial intelligence in education? (2) What is the current state of research on generative artificial intelligence in education? (3) How can generative artificial intelligence empower education to promote high-quality educational development? By examining these questions, we found that generative artificial intelligence in education presents contradictions—diverse demands and limited practice. Therefore, future efforts should focus on constructing region-specific large language models, educational corpora, and prompt engineering, thus further promoting the high-quality development of education.",1: Somewhat AI related,1: Other ,Arnav
Using ChatGPT in Undergraduate Computer Science and Software Engineering Courses: A Students' Perspective,https://ieeexplore.ieee.org/document/10892934/,"This innovative practice full paper presents an empirical study aimed at evaluating the potential of ChatGPT, an advanced AI-driven chatbot, as a supplementary educational tool in undergraduate Computer Science and Software Engineering (CSSE) courses. The study, initiated in the summer of 2023, focused on assessing ChatGPT's capabilities in generating accurate and complete computer code, identifying and rectifying code defects (bugs), and its scalability in handling larger programs. To achieve this, we conducted a series of experiments with ChatGPT. In one experiment, we introduced bugs into small programs from introductory CSSE courses. ChatGPT was tasked with detecting these defects and providing recommendations for fixing them. We evaluated ChatGPT's effectiveness in bug detection, the quality of its recommendations, and the completeness of the proposed solutions. We sought answers to questions such as whether ChatGPT found all injected defects, provided appropriate recommendations, and delivered high-quality solutions based on criteria like code completeness, size, complexity, and readability. In another experiment, ChatGPT was asked to generate code for assignments from previous CSSE courses, including Intro to Computer Science and Programming in C++, Intro to Python Programming, and Object-Oriented Programming and Data Structures using Java. We assessed the generated code's correctness and quality in comparison to student-written code. Similarly, in a third experiment, we evaluated ChatGPT's ability to generate larger programs using requirement specifications from an upper-division CSSE course on Agile Software Engineering. Analyzing both qualitative and quantitative data from these experiments during the summer, we determined that ChatGPT showed promise as an educational tool. Consequently, we developed a plan to integrate ChatGPT into select CSSE courses for the fall semester of 2023. Specifically, ChatGPT was integrated into two of our introductory CSSE courses enabling students to utilize it for debugging assignments and generating practice questions for exam preparation. In addition, we encouraged student teams in our EPICS (Engineering Projects In Community Service) course to utilize ChatGPT as a supplementary aid to help them find and learn any new programming languages or technologies needed for their projects. Anonymous surveys were conducted at the beginning and at the end of these courses to collect feedback from students regarding their experiences with ChatGPT. Initial responses indicated that students were generally familiar with ChatGPT and expressed curiosity about its potential utility, although some skepticism was present. However, by the semester's end, students demonstrated a positive shift in perceptions. They appreciated ChatGPT's assistance in rectifying code bugs, especially after-hours. Additionally, students valued ChatGPT for generating practice questions for exams, despite some inconsistencies in its responses. In our EPICS course, students felt ChatGPT was useful for learning new technologies, though opinions varied on its project management benefits. Lastly, the majority of students felt that ChatGPT helped them adjust to their work progress, showing its potential utility in keeping pace with ongoing projects. Based on student feedback, we propose integrating ChatGPT into future CSSE courses. Finally, as AI -based tools become more integral to academic settings, we believe that disseminating our experiences could potentially enhance engineering and computing education.",2: AI Tutor ,2: CS,Arnav
Research on Digital Intelligent Teaching Reform for Big Data Technology Curriculum Based on AI and Platform Data,https://ieeexplore.ieee.org/document/11092002/,"With the rapid development of digital and intelligent technology, the training of big data talents is facing higher requirements and challenges. However, the current big data technology curriculum still has shortcomings in content update, engineering practice, and innovation ability training, and the personalized learning path and course evaluation system need to be improved. In order to solve the above problems, this paper discusses the digital intelligent teaching reform for big data technology curriculum based on AI and platform data, focusing on how to optimize teaching resources, strengthen practical links, and innovate teaching methods and evaluation systems through teaching platforms. Research shows that the digital intelligence reform not only improves the teaching efficiency of teachers but also significantly enhances students' practical and innovation ability, thus effectively improving the quality of big data technology education and having important theoretical and practical value.",1: Somewhat AI related,2: CS,Arnav
WIP: ARTful Insights from a Pilot Study on GPT-Based Automatic Code Reviews in Undergraduate Computer Science Programs,https://ieeexplore.ieee.org/document/10893407/,"This work in progress research paper describes a pilot study using a Large Language Model (LLM) Generative Pre-Trained Transformer-based (GPT) system that generates industry-style code reviews for student feedback on software development projects in Computer Science 2nd, 3rd, and 4th+ semester classes (CS2, CS3, CS4+) at an ABET accredited baccalaureate institution. Code reviews are a valuable, but work-intensive, component of the software engineering process and provide important training to undergraduate students in the form of mentor-peer knowledge transfer. Participants in this study engaged in iterative experiential learning using the Automatic Review Tool (ART), an artificial intelligence tool to support software engineering as an Automatic Static Analysis Tool in the Continuous Integration pipeline alongside software testing harnesses and code style checkers. This pilot study was based on earlier results from a full computer science second semester (CS2) class <tex xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">$(\mathrm{n}=74)$</tex> to develop an ART-generated code review intervention pilot study with a small group of students in CS2 / 3 and CS4. The project underway uses an experiential learning and iterative feedback process to answer research questions including “Does ART provide accurate and actionable code reviews for students” and “Which levels of students are best prepared to receive and use ART-based code reviews?” During this pilot study, the project used a mixed methods research approach with a series of surveys, code review interventions, and numerical analysis of the code reviews' accuracy. Results showed a reasonable degree of code review accuracy by ART and the students learned code review skills from interaction with the ART-based reviews they received. Ongoing work includes increasing the scale of data collection, using this work to refine and focus the ART-based reviews onto the categories of feedback that students find the most valuable, and building out a more modular tool for wider release in the academic community.",2: AI Tutor ,2: CS,Arnav
Large Language Models and Knowledge Graphs Synergistically Enhancing Personalized Learning,https://ieeexplore.ieee.org/document/11091995/,"The rapid development of artificial intelligence technology has promoted the intelligence of the education field. The collaborative work of large language models (LLMs) and knowledge graphs (KGs) can effectively develop personalized learning paths. Personalized learning in programming courses is crucial for meeting students' different needs and proficiency levels. This article proposes a method for personalized teaching of programming courses using LLMs and KGs. The LLMs is used to analyze students' learning status, provide real-time feedback, and generate customized learning materials, while the KGs provides a structured knowledge base to plan essential skills and learning progress, highly integrating the advantages of the LLMs and the logical connections of knowledge from various disciplines. The application results show that designing a knowledge system ontology through disciplinary knowledge analysis, retraining and fine-tuning the LLMs, forms the final personalized knowledge system, improves the accuracy of learning path recommendations and the relevance of generated exercises, and can be easily promoted to other disciplinary fields.",2: AI Tutor ,2: CS,Arnav
End-to-End Deployment of the Educational AI Hub for Personalized Learning and Engagement: A Case Study on Environmental Science Education,https://ieeexplore.ieee.org/document/10938135/,"This study introduces an end-to-end framework for deploying conversational AI-enabled educational assistants, focusing on personalized support for students across diverse subject areas, including Business, Culture, Environmental Sciences, History, Politics, and Science, as outlined in our evaluation framework. The system leverages advanced conversational AI technologies to provide targeted, course-specific learning experiences by facilitating access to complex data and integrating seamlessly with Learning Management Systems (LMS) like Canvas. Key metrics—information retrieval accuracy, question-answering accuracy, and hallucination accuracy—were selected to rigorously evaluate the system’s ability to retrieve relevant contexts, generate accurate responses, and identify unanswerable questions. Additionally, the Educational AI Hub agents utilize innovative document parsing methods, such as the Nougat technique, to interpret content accurately, enabling adaptable academic support tailored to individual learning needs and extending to quantitative fields through code execution capabilities. This study also emphasizes the importance of accessibility, inclusivity, and user privacy. The results showcase the potential for enhanced engagement and improved understanding of environmental concepts and software tools, demonstrating the significant impact of conversational AI in educational settings, especially in disciplines involving complex data interactions. A case study, presented at the 12th International Congress on Environmental Modelling and Software, illustrates the Educational AI Hub’s effectiveness in enhancing student engagement and delivering personalized learning experiences in environmental sciences education.",2: AI Tutor ,1: Other ,Arnav
Exploring the Role of Large Language Models as Artificial Tutors,https://ieeexplore.ieee.org/document/11016571/,"As large language models (LLMs) become increasingly integrated into learning environments, their potential to enhance or hinder the acquisition of computational skills remains debated. This study investigates the role of generative AI (GenAI) tools, particularly Harvard's CS50 Duck, in supporting programming education. Through a mixed-methods approach, we examine students' perceptions, engagement, and practical application of the CS50 Duck within our Computational Thinking course. Our results indicate that while proficient students use GenAI tools to reinforce problem-solving skills, struggeling students may over-rely on them, potentially bypassing critical learning processes. Survey and assignment data suggest that students value the non-judgmental feedback provided by the CS50 Duck, yet express nuanced views on GenAI's role in formal assessments and programming education. We show that analysing chat histories can serve as a qualitative framework for examining the interactions between students and artificial tutors, while simultaneously offering critical insights into students' learning processes and the challenges they encounter. This study also underscores the need for instructional strategies that guide responsible GenAI use and highlights the importance of educator involvement in integrating these tools effectively.",2: AI Tutor ,2: CS,Arnav
The Role of AI in Transforming Education: A Systematic Review of Trends,https://ieeexplore.ieee.org/document/11039329/,"Artificial Intelligence (AI) has emerged as a transformative force in higher education, particularly in STEM disciplines, revolutionizing teaching, learning, and administrative processes. This survey provides a comprehensive overview of AI applications in university education, focusing on large language models (LLMs) and generative AI. Key areas include intelligent tutoring systems, automated grading, adaptive learning platforms, and AI-driven administrative support. While AI offers significant benefits, such as personalized learning and operational efficiency, it also introduces challenges, including ethical concerns, algorithmic bias, and data privacy risks. This paper critically examines these challenges and identifies future directions, such as the integration of generative AI in STEM education, advancements in natural language processing, and the development of explainable and trustworthy AI systems. By synthesizing current research, this survey aims to equip educators, policymakers, and researchers with insights into the evolving role of AI in education and its implications for creating equitable and effective learning environments.",1: Somewhat AI related,1: Other ,Arnav
Data-Driven Artificial Intelligence in Education: A Comprehensive Review,https://ieeexplore.ieee.org/document/10247566/,"As <italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">education</i> constitutes an essential development standard for individuals and societies, researchers have been exploring the use of artificial intelligence (AI) in this domain and have embedded the technology within it through a myriad of applications. In order to provide a detailed overview of the efforts, this article pays particular attention to these developments by highlighting key application areas of data-driven AI in education; it also analyzes existing tools, research trends, as well as limitations of the role data-driven AI can play in education. In particular, this article reviews various applications of AI in education including student grading and assessments, student retention and drop-out predictions, sentiment analysis, intelligent tutoring, classroom monitoring, and recommender systems. This article also provides a detailed bibliometric analysis to highlight the salient research trends in AI in education over nine years (2014–2022) and further provides a detailed description of the tools and platforms developed as the outcome of research and development efforts in AI in education. For the bibliometric analysis, articles from several top venues are analyzed to explore research trends in the domain. The analysis shows sufficient contribution in the domain from different parts of the world with a clear lead for the United States. Moreover, students' grading and evaluation have been observed as the most widely explored application. Despite the significant success, we observed several aspects of education where AI alone has not contributed much. We believe such detailed analysis is expected to provide a baseline for future research in the domain.",1: Somewhat AI related,1: Other ,Arnav
Generative Artificial Intelligence for Programming Education: Enhancing Input to Outcome-Based Teaching and Learning Approaches,https://ieeexplore.ieee.org/document/11131023/,"Generative AI is gaining attention in educational settings to enhance teaching and learning activities. However, to date, an account of students' perceptions and preferences in generative artificial intelligence, from the Philippines, a higher education institution. The study was designed through an experimental approach by involving students enrolled in a programming course. Each programming assessment task was provided feedback through chatGPT and student perceptions and preferences were collected using a survey, analyzed using descriptive and thematic analysis. Results show that students prefer chatGPT generated feedback based on specificity, clarity, objectivity, and corrective guidance to enhance the codes. Further, students suggest that best practices in coding complying with industry standards and efficiency of the code should be considered in providing formative feedback. Further, making the students more confident and independent in problem-solving skills. Overall, the study indicates the potential of chatGPT generated formative feedback to enhance attainment of the learning outcomes in programming courses.",2: AI Tutor ,2: CS,Arnav
Harnessing Multi-Agent LLMs for Complex Engineering Problem-Solving: A Framework for Senior Design Projects,https://ieeexplore.ieee.org/document/11016653/,"Multi-Agent Large Language Models (LLMs) are gaining attention for their ability to harness collective intelligence in complex problem-solving, decision-making, and planning tasks. This aligns with the wisdom of crowds concept, where diverse agents collectively generate effective solutions, making them well-suited for educational settings. Senior design projects, pivotal in engineering education, integrate theoretical knowledge with practical application, fostering critical thinking, teamwork, and real-world problem-solving skills. These projects often involve multidisciplinary considerations and conflicting objectives, such as optimizing technical performance while addressing ethical, social, and environmental concerns. In this paper, we explore a framework where distinct LLM agents embody expert perspectives, including problem formulation, system complexity, societal and ethical considerations, and project management. These agents engage in rich, collaborative dialogues, leveraging multi-agent system principles like coordination, cooperation, and negotiation. Prompt engineering is employed to create diverse personas, simulating human engineering teams and incorporating swarm AI principles to balance contributions efficiently. To evaluate the framework, we analyzed six senior capstone project proposals from engineering and computer science, comparing Multi-Agent and single-agent LLMs using metrics developed with engineering faculty and widely used NLP-based measures. These metrics assess technical quality, ethical considerations, social impact, and feasibility, aligning with the educational objectives of engineering design. Our findings suggest that Multi-Agent LLMs can provide a richer, more inclusive problem-solving environment compared to single-agent systems with 89% alignment with engineering-faculty scores, offering a promising tool for enhancing the educational experience of engineering and computer science students by simulating the complexity and collaboration of real-world engineering and computer science practice. By supporting senior design projects, this tool not only aids in achieving academic excellence but also prepares students for the multifaceted challenges they will face in their professional engineering careers. We have open-sourced our framework for further development and adaptation on GitHub<sup xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">1</sup><sup xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">1</sup>Copilot is available at GitHub Repository: https://github.com/AbdullahMushtaq78/Multi-Agent-SDP-Copliot.",2: AI Tutor ,2: CS,Arnav
Research on the Application of AI Code Assistants in C Language Programming Courses,https://ieeexplore.ieee.org/document/11091939/,"As a core basic course for computer majors, C language programming plays a crucial foundational role in students' programming foundation and subsequent professional development. However, due to the complex, trivial grammar rules and abstract knowledge points of C language programming, students are highly prone to encounter difficulties and setbacks in the initial stage, resulting in poor effectiveness of the traditional teaching model. Therefore, we innovatively integrate AI code assistants into the entire process of C language programming course, to establish a new teaching model. This research elaborates on the integrated application of AI code assistants in theoretical and experimental teaching in multiple ways and verifies their effectiveness through rigorous comparisons. The results indicate that the new teaching model effectively overcomes the limitations of the traditional approach, significantly improving students' practical programming skills and their ability to solve complex problems. This innovation provides a promising direction for C language programming course reform in computer science majors.",2: AI Tutor ,2: CS,Arnav
A Comparative Study on the Effectiveness of Generative AI Tools and Pair Programming in College Students' Programming Learning,https://ieeexplore.ieee.org/document/11193454/,"With the rapid development of artificial intelligence technology in the field of education, AI has shown great potential in programming education. However, the traditional pair programming method cannot provide immediate feedback and has certain limitations. This study proposes an innovative AI-assisted learning method, aiming to enhance students' programming learning experience and efficiency through the assistance of AI. This study employed a hierarchical guided AI tool based on large language models and adopted a quasi-experimental design to investigate the impact of AI methods on students' academic performance, self-efficacy, and learning interest. A study was conducted on 80 undergraduate students of the C language programming course. Two classes were randomly assigned to AI assisted pair programming (n=38) and human-human pair programming (n=42). The research results show that artificial intelligence assistance can effectively improve students' programming performance, self-efficacy and programming interest. This research provides strong practical guidance for integrating AI-assisted learning into programming courses in colleges and universities.",2: AI Tutor ,2: CS,Arnav
Research on the application of computer artificial intelligence technology in feedback teaching of English,https://ieeexplore.ieee.org/document/9918898/,"Artificial intelligence technology has begun to enter the field of education in recent years. Artificial intelligence can promote English teaching in many ways, artificial intelligence provides relatively objective and instructive feedback, artificial intelligence helps teachers teach, artificial intelligence helps students improve English skills, and can promote the enthusiasm of teachers and students in teaching and learning. In the process of second language acquisition teaching, it is inevitable for learners to make mistakes in grammar, vocabulary and even language communication. English learners are easily affected by the negative influence of their mother tongue thinking, and learners are prone to negatively transfer the acquired rules to English usage, resulting in deviations in English comprehension and usage errors. We must fully recognize the practical significance of computer artificial intelligence technology for feedback teaching in English second language acquisition for teachers to correctly guide students in language learning.",2: AI Tutor ,1: Other ,Arnav
Navigating the Pitfalls: Analyzing the Behavior of LLMs as a Coding Assistant for Computer Science Students—A Systematic Review of the Literature,https://ieeexplore.ieee.org/document/10636140/,"In recent years, large language models (LLMs) have been employed significantly in different domains of computing education. Nevertheless, these models have been focused on essential adherence to their integration as coding assistants in computing education. However, attention has been switched to thoroughly examining and analyzing LLM behavior, particularly in computing education for programming tasks such as code generation, code explanation, and programming error message explanation. Therefore, it becomes imperative to understand their behavior to examine potential pitfalls. This article addresses this gap systematically and details how different LLM-based coding chatbots, such as ChatGPT, Codex, Copilot, and others, react to various coding inputs within computing education. To achieve this objective, we collected and analyzed articles from 2021 to 2024, and 72 studies were thoroughly examined. These objectives include investigating the existing limitations and challenges associated with utilizing these systems for coding tasks, assessing their responses to prompts containing coding syntax, examining the impact of their output on student learning, and evaluating their performance as debugging tools. The findings of this review highlight that it is premature to incorporate these systems into computing education due to their limitations that may limit their effectiveness as comprehensive coding assistants for computer science students. These limitations include issues with handling prompts containing code snippets, potential negative impacts on student learning, limited debugging capabilities, and other ineffectiveness. The finding also reports multiple research directions that can be considered in future research related to LLMs in computing education.",1: Somewhat AI related,2: CS,Arnav
